OTU ID	Al.8C9	PGFC.9	Al.3B1	Al.7E6	Az.D5	PGFC.4	Al.3H3	Al.93A1	Al.90G2	Ac.95G2	PGFC.1	Az.F9	PGFC.2	Az.H2	Al.90A4	Al.8A7	Al.3G1	Az.H10	Az.B8	Al.90H10	Az.H3	PGFC.6	Ac.95G1	Al.7D12	Al.8F4	Az.E7	Az.D11	Az.D8	Az.G9	PGFC.8	Az.A8	Al.7E7	Al.90G3	Al.18H5	Az.G11	Az.F10	Az.A7	Az.A3	Ac.95G4	Az.B11	Al.3F2	PGFC.5	Ac.95G7	Az.G4	Az.D2	Ac.95F2	Az.B12	Az.C9	Av.A5	Al.90H9	Az.A10	Al.7C8	PGFC.3	Az.C12	PGFC.7	Ac.95G3	Al.90H7	Az.B1	Al.7d9	Al.4A10	Az.E5	Al.7D7	Ac.95F7	Al.7E3	Av.H12	Al.7D11	Al.8A6	Al.3G11	Ac.95F6	PGFC.10	Al.4B7	Al.90H5	Az.H11	Az.A2	Az.D6	Az.E6
3f157dc6113e037ad1f06cabb79ae120	1773.0	0.0	4244.0	0.0	0.0	16.0	77.0	0.0	124.0	289.0	45.0	1.0	93.0	0.0	123.0	3444.0	8181.0	76.0	0.0	5.0	31.0	0.0	30.0	0.0	85.0	208.0	0.0	204.0	0.0	8.0	0.0	0.0	107.0	3.0	0.0	0.0	0.0	388.0	24.0	130.0	0.0	0.0	12.0	41.0	0.0	2.0	48.0	0.0	0.0	126.0	0.0	190.0	34.0	0.0	1.0	27.0	37.0	265.0	50.0	174.0	102.0	2.0	5.0	0.0	1323.0	0.0	6023.0	880.0	54.0	1012.0	1982.0	19.0	2.0	5.0	140.0	457.0
149bd003afc4f4dcb1ce23429c8918fb	1633.0	0.0	2644.0	756.0	0.0	0.0	1124.0	0.0	470.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	116.0	4.0	207.0	2265.0	28.0	5.0	32.0	7.0	0.0	15.0	0.0	9.0	102.0	0.0	330.0	1.0	0.0	311.0	0.0	10.0	2.0	106.0	0.0	499.0	10.0	358.0	0.0	0.0	0.0	0.0	0.0	32.0	47.0	0.0	0.0	0.0	12.0	31.0	173.0	0.0	0.0	1320.0	16.0	4.0	4.0	0.0	0.0	20.0	0.0	376.0	164.0	0.0	900.0	31.0	0.0	234.0	0.0	1.0
d4cb513a02731ea98dcb9784596e1574	914.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.0	2148.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
555cc2b13c6df8a08b6f3b6a585502c1	849.0	0.0	299.0	0.0	0.0	0.0	0.0	1.0	31.0	45.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	46.0	0.0	19.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	19.0	0.0	25.0	0.0	0.0	9.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	233.0	240.0	62.0	0.0	379.0	0.0	0.0	0.0	0.0	0.0
8b111e12f8f73205bac732c7479a97e8	661.0	0.0	0.0	0.0	0.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0	0.0	0.0	245.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0
271ef157f6d986b61087c876992bd677	660.0	0.0	1736.0	2.0	122.0	0.0	267.0	63.0	3.0	0.0	0.0	71.0	0.0	0.0	5222.0	168.0	7206.0	36.0	22.0	1.0	2.0	101.0	40.0	2.0	7.0	0.0	0.0	101.0	0.0	0.0	3.0	150.0	6.0	7.0	0.0	0.0	921.0	3.0	0.0	0.0	8.0	4.0	0.0	188.0	837.0	30.0	79.0	0.0	0.0	59.0	5.0	10.0	28.0	0.0	1.0	134.0	1114.0	0.0	5.0	2352.0	32.0	183.0	0.0	88.0	0.0	986.0	0.0	300.0	13.0	2.0	72.0	69.0	0.0	597.0	0.0	90.0
dab7be63fbd4afbdec244d9513def407	578.0	0.0	222.0	9.0	0.0	0.0	96.0	0.0	0.0	86.0	0.0	0.0	0.0	0.0	2185.0	9.0	2.0	0.0	0.0	0.0	0.0	0.0	412.0	33.0	137.0	0.0	0.0	5.0	0.0	68.0	0.0	7.0	1.0	0.0	0.0	56.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.0	0.0	0.0	0.0	118.0	43.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9390c28bf00bc098fec95db2dd8232f4	447.0	0.0	168.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	634.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	225.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	68.0	362.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0
8084e2e1269c7f8049db0d8047cc07fb	415.0	0.0	64.0	0.0	0.0	0.0	0.0	4151.0	19.0	207.0	0.0	0.0	0.0	0.0	3137.0	319.0	623.0	53.0	0.0	0.0	0.0	0.0	95.0	0.0	0.0	1.0	1.0	9.0	0.0	0.0	40.0	0.0	20.0	5.0	0.0	0.0	1.0	0.0	589.0	0.0	0.0	0.0	10.0	305.0	1.0	6.0	0.0	0.0	0.0	4.0	2.0	0.0	18.0	0.0	0.0	95.0	1060.0	35.0	0.0	104.0	2.0	1.0	0.0	4.0	0.0	0.0	2422.0	285.0	14.0	0.0	1273.0	3637.0	9.0	17.0	0.0	0.0
83786c42c40caa110dc39c9c56a91df9	409.0	0.0	2797.0	97.0	0.0	0.0	3.0	53.0	195.0	30.0	0.0	120.0	21.0	0.0	52.0	9045.0	1775.0	163.0	2.0	6.0	0.0	42.0	107.0	8.0	54.0	6.0	0.0	270.0	0.0	0.0	53.0	13.0	222.0	7.0	0.0	10.0	51.0	7.0	27.0	93.0	24.0	0.0	7.0	1.0	0.0	13.0	0.0	0.0	0.0	103.0	153.0	13.0	1.0	3.0	0.0	5.0	16.0	43.0	150.0	665.0	1.0	7.0	1.0	39.0	0.0	31.0	3894.0	6558.0	56.0	7.0	3900.0	19.0	1.0	228.0	43.0	357.0
45b39346c375374b004c94c1230a6812	392.0	1.0	99.0	67.0	0.0	0.0	0.0	68.0	27.0	25.0	0.0	0.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	3.0	0.0	0.0	15.0	20.0	29.0	22.0	0.0	170.0	0.0	0.0	0.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	6.0	8.0	0.0	177.0	3.0	0.0	0.0	0.0	120.0	0.0	6.0	0.0	0.0	0.0	0.0	58.0	0.0	101.0	223.0	11.0	7.0	0.0	22.0	0.0	6.0	115.0	49.0	9.0	0.0	668.0	45.0	0.0	0.0	149.0	59.0
45f73e1340277ac9658b26da925310ad	390.0	4.0	5814.0	49.0	0.0	0.0	2.0	1.0	17.0	378.0	1.0	0.0	3.0	0.0	167.0	1106.0	197.0	0.0	1.0	5.0	66.0	0.0	58.0	10.0	8.0	0.0	0.0	168.0	0.0	4.0	20.0	3.0	35.0	0.0	0.0	105.0	0.0	0.0	10.0	0.0	11.0	3.0	49.0	0.0	80.0	1.0	0.0	78.0	1143.0	51.0	0.0	0.0	0.0	0.0	3.0	2.0	10.0	0.0	54.0	801.0	6.0	4.0	4.0	13.0	0.0	4.0	3.0	10589.0	6.0	0.0	18489.0	51.0	8.0	90.0	43.0	49.0
e09bbf67ced1b7aa4898687f47d50ecd	367.0	24.0	227.0	54.0	0.0	0.0	73.0	5.0	12.0	223.0	0.0	0.0	13.0	0.0	1984.0	140.0	43.0	0.0	0.0	370.0	0.0	1929.0	530.0	1.0	207.0	459.0	0.0	12.0	0.0	18.0	51.0	0.0	17.0	2.0	0.0	23.0	4.0	27.0	31.0	67.0	0.0	0.0	88.0	0.0	0.0	0.0	0.0	50.0	0.0	29.0	86.0	1.0	167.0	0.0	358.0	148.0	144.0	6.0	473.0	71.0	8.0	3.0	0.0	180.0	0.0	11.0	0.0	862.0	0.0	30.0	1218.0	1904.0	0.0	0.0	0.0	0.0
b65ffbbd0f9d634e5e10826e0cc4ed46	347.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1b75626f6834620dc2c729a1a81f497a	339.0	136.0	168.0	0.0	179.0	163.0	13.0	5.0	0.0	50.0	13.0	0.0	321.0	0.0	2634.0	0.0	0.0	0.0	0.0	6.0	0.0	161.0	6986.0	0.0	2.0	1.0	0.0	2.0	0.0	565.0	0.0	0.0	39.0	0.0	4.0	0.0	0.0	14.0	103.0	0.0	0.0	11.0	24.0	0.0	0.0	7.0	0.0	4.0	0.0	119.0	0.0	0.0	136.0	0.0	75.0	9909.0	890.0	94.0	0.0	0.0	7.0	6.0	5.0	10.0	2.0	6.0	0.0	115.0	32.0	93.0	661.0	6217.0	0.0	12.0	0.0	0.0
7d452c3b0607078cc0e3a227cdf33b08	322.0	86.0	188.0	210.0	0.0	0.0	0.0	40.0	204.0	50.0	0.0	60.0	0.0	0.0	482.0	385.0	223.0	137.0	82.0	44.0	30.0	25.0	554.0	17.0	77.0	77.0	0.0	733.0	0.0	0.0	362.0	51.0	609.0	1.0	98.0	152.0	0.0	0.0	5.0	81.0	0.0	11.0	61.0	95.0	135.0	16.0	25.0	369.0	1984.0	156.0	186.0	102.0	0.0	0.0	29.0	13.0	53.0	45.0	417.0	760.0	14.0	56.0	23.0	54.0	0.0	42.0	467.0	308.0	141.0	53.0	1227.0	42.0	0.0	562.0	0.0	145.0
47b6e48781f5a94ed9bd00f25ee87069	294.0	12158.0	632.0	3198.0	431.0	4130.0	112.0	16000.0	38124.0	20841.0	31163.0	3298.0	26739.0	1752.0	127.0	80.0	170.0	9103.0	25325.0	1022.0	1682.0	53707.0	22317.0	54134.0	15416.0	9162.0	5445.0	9293.0	2428.0	16449.0	19709.0	1205.0	43205.0	4487.0	35502.0	11156.0	5736.0	3810.0	11275.0	1400.0	1069.0	79868.0	14804.0	1460.0	7050.0	26365.0	11730.0	10662.0	420.0	38784.0	6382.0	30176.0	3343.0	6283.0	20221.0	3442.0	12044.0	4271.0	36157.0	259.0	826.0	13014.0	49974.0	32883.0	25.0	4292.0	193.0	70.0	30344.0	53638.0	520.0	9679.0	212.0	3502.0	3933.0	11743.0
